datetime,logged_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-02-28 08:10:00,quarter bar Quest Bar cookie dough,45,5.8,3.3,0.1,5.0,2.0
2020-02-28 09:15:00,rest of bar Quest Bar cookie dough,135,17.3,9.8,0.4,15.0,6.0
2020-02-28 11:25:00,10 fluid oz Premier protein choc shake,160,5.0,3.0,1.0,30.0,3.0
2020-02-28 15:30:00,4 small pizza slices everything,626,70.0,5.2,7.2,26.0,26.0
2020-02-28 19:30:00,2 Chocolate chip cookies,296,40.0,1.2,19.8,3.0,14.8
2020-02-28 23:00:00,3 servings Baked cheetos,420,60.0,1.5,3.0,6.0,15.0
2020-02-28 23:50:00,Oreo shake,652,102.0,2.1,80.0,15.0,22.0
2020-02-29 11:50:00,Std breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-02-29 16:00:00,4 small pizza slices everything,626,70.0,5.2,7.2,26.0,26.0
2020-02-29 23:30:00,"30 fluid oz Fruit smoothie, 1 servings PB protein whey powder, 3 servings Baked cheetos",1139,188.0,13.0,93.0,52.0,21.6
2020-03-01 11:00:00,"10 fluid oz Fruit smoothie, 1 servings PB protein whey powder",315,44.0,4.5,30.0,32.0,2.6
2020-03-01 14:00:00,4 small pizza slices everything,626,70.0,5.2,7.2,26.0,26.0
2020-03-01 23:00:00,"35 fluid oz Fruit smoothie, 1 servings PB protein whey powder, 3 servings Baked cheetos",1139,188.0,13.0,93.0,52.0,21.6
2020-03-02 01:30:00,"6 fluid oz Fruit smoothie, 1 servings Baked cheetos",342,62.0,4.0,31.0,9.0,7.1
2020-03-02 05:15:00,Std breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-03-02 09:50:00,Premier protein choc shake,160,5.0,3.0,1.0,30.0,3.0
2020-03-02 15:00:00,Fun size snickers bar,74,9.2,0.3,7.6,1.1,3.6
2020-03-02 22:00:00,"30 fluid oz Fruit smoothie, 5 servings Baked cheetos",1306,226.0,13.0,95.0,31.0,31.1
2020-03-03 11:00:00,5.5 fluid oz Premier protein choc shake,160,5.0,3.0,1.0,30.0,3.0
2020-03-03 13:55:00,"0.75 cup Mac and cheese, 1 slcie Bacon",430,47.2,2.4,8.5,13.7,20.0
2020-03-03 14:40:00,Blue Bunny fudge bar,62,12.0,1.1,9.0,2.2,0.6
2020-03-03 18:25:00,"26 fluid oz Fruit smoothie, 1 servings PB protein whey powder, 2 servings Chex Mix cheddar",979,172.0,13.5,96.0,50.0,13.6
2020-03-03 20:00:00,Fritos single serving bag,452,48.0,3.3,0.2,5.1,27.9
2020-03-03 23:45:00,"half omelet Veggie omelet, 2 slices Bacon, half Cinnamon raisin bagel, Fritos single serving bag",1049,93.9,6.1,8.0,38.1,59.0
2020-03-04 00:45:00,2 Blue Bunny fudge bar,124,24.0,2.2,18.0,4.4,1.3
2020-03-04 02:00:00,2 small fruit bars,240,52.0,5.2,22.0,3.4,6.4
2020-03-04 08:25:00,Std breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-03-04 13:20:00,"half omelet Veggie omelet, 2 slices Bacon, half Cinnamon raisin bagel",597,45.9,2.8,7.8,33.0,31.1
2020-03-04 20:25:00,Lean Cuisine mushroom ravioli box meal,270,40.0,3.0,8.0,10.0,8.0
2020-03-05 00:05:00,M&Ms,236,34.0,1.3,31.0,2.1,10.0
2020-03-05 11:00:00,11 fluid oz Premier protein choc shake,160,5.0,3.0,1.0,30.0,3.0
2020-03-05 18:15:00,11 fluid oz Premier protein choc shake,160,5.0,3.0,1.0,30.0,3.0
2020-03-05 23:30:00,"30 fluid oz Fruit smoothie, 5 servings Baked cheetos, 1 servings PB protein whey powder",1419,228.0,14.0,95.0,56.0,31.6
2020-03-06 13:00:00,Std breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-03-06 18:15:00,Nutrigrain bar,130,25.0,1.0,13.0,2.0,3.5
2020-03-06 20:35:00,"28 fluid oz Fruit smoothie, 1 servings PB protein whey powder, 6 servings Baked cheetos",1559,248.0,14.5,96.0,58.0,36.6
2020-03-07 08:20:00,"1/4 blueberry pancake, 1 bowl Grits, 2 slices Bacon",342,43.4,1.6,0.2,13.2,12.4
2020-03-07 11:45:00,1 snack size baby ruth,83,12.0,0.4,9.7,1.0,3.9
2020-03-07 13:15:00,1 snack size baby ruth,83,12.0,0.4,9.7,1.0,3.9
2020-03-07 13:30:00,10 fluid oz Premier protein choc shake,160,5.0,3.0,1.0,30.0,3.0
2020-03-07 14:35:00,4 crackers Ritz PB crackers,200,22.0,0.5,5.0,4.0,11.0
2020-03-07 18:45:00,1.5 servings Baked cheetos,210,30.0,0.8,1.5,3.0,7.5
2020-03-07 19:15:00,Totinos pizza,1320,148.0,8.0,16.0,44.0,64.0
2020-03-07 20:00:00,1.5 servings Baked cheetos,140,20.0,0.5,1.0,2.0,5.0
2020-03-08 10:50:00,Std breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-03-08 12:30:00,"Baked chicken, String beans, Lemon risotto, 3 bites Cheesecake",454,36.4,3.1,10.7,27.6,20.8
2020-03-08 19:50:00,"3/4 large blueberry pancake, 5 servings Baked cheetos",784,111.0,2.5,5.0,12.3,28.5
2020-03-09 07:30:00,Boost,654,82.0,5.6,40.0,26.0,26.0
